Villanova,1
Mt St Mary's,16
Wisconsin,8
Virginia Tech,9
Virginia,5
UNC Wilmington,12
Florida,4
ETSU,13
SMU,6
USC,11
Baylor,3
New Mexico St,14
South Carolina,7
Marquette,10
Duke,2
Troy,15
Gonzaga,1
S Dakota St,16
Northwestern,8
Vanderbilt,9
Notre Dame,5
Princeton,12
West Virginia,4
Bucknell,13
Maryland,6
Xavier,11
Florida St,3
FL Gulf Coast,14
St Mary's CA,7
VA Commonwealth,10
Arizona,2
North Dakota,15
Kansas,1
UC Davis,16
Miami FL,8
Michigan St,9
Iowa St,5
Nevada,12
Purdue,4
Vermont,13
Creighton,6
Rhode Island,11
Oregon,3
Iona,14
Michigan,7
Oklahoma St,10
Louisville,2
Jacksonville St,15
North Carolina,1
TX Southern,16
Arkansas,8
Seton Hall,9
Minnesota,5
MTSU,12
Butler,4
Winthrop,13
Cincinnati,6
Kansas St,11
UCLA,3
Kent,14
Dayton,7
Wichita St,10
Kentucky,2
N Kentucky,15
